22-Jun-2025,Sunday,,,,,,,,,,,,,,,,,,
23-Jun-2025,Monday,,,,,,,,,,,,,,,,,,
24-Jun-2025,Tuesday,,,,,,,,,,,,,,,,,,
25-Jun-2025,Wednesday,,,,,,,,,,,,,,,,,,
26-Jun-2025,Thursday,,,,,,,,,,,,,,,,,,
27-Jun-2025,Friday,,,,,,,,,,,,,,,,,,
28-Jun-2025,Saturday,,,,,,,,,,,,,,,,,,
29-Jun-2025,Sunday,,,,,,,,,,,,,,,,,,
30-Jun-2025,Monday,,,,,,,,,,,,,,,,,,
1-Jul-2025,Tuesday,,,,,,,,,,,,,,,,,,
2-Jul-2025,Wednesday,,,,,,,,,,,,,,,,,,
3-Jul-2025,Thursday,,,,,,,,,,,,,,,,,,
4-Jul-2025,Friday,,,,,,,,,,,,,,,,,,
5-Jul-2025,Saturday,,,,,,,,,,,,,,,,,,
6-Jul-2025,Sunday,,,,,,,,,,,,,,,,,,
7-Jul-2025,Monday,,,,,,,,,,,,,,,,,,
8-Jul-2025,Tuesday,,,,,,,,,,,,,,,,,,
9-Jul-2025,Wednesday,,,,,,,,,,,,,,,,,,
